"","Comp 1","Comp 2","Comp 3"
"1592",0.0348826109121801,-0.0333988185142136,-0.00886848125706898
"1594",0.0340900950641075,-0.0340527565717201,-0.0104267228749609
"1596",0.0331202010686745,-0.0348104331315235,-0.0121236853819955
"1598",0.03198937479175,-0.035648325063504,-0.0138196065883819
"1600",0.030622142035749,-0.0365792302368567,-0.0153664523129896
"1602",0.0291469815313385,-0.0374992231275506,-0.0166306749238852
"1604",0.0275290748051823,-0.038488413847644,-0.0178885771511692
"1606",0.0257420674379658,-0.0394647664174892,-0.0192731073066549
"1608",0.0240116987277396,-0.0401875783380548,-0.0202837173585367
"1610",0.022307794337187,-0.0407099998971271,-0.0207150758427454
"1612",0.0203249285663223,-0.0413126606921727,-0.020870578180051
"1614",0.0180178402779754,-0.0420888019191438,-0.0209806962335523
"1616",0.0155808581474431,-0.0427805086689645,-0.0209284663044518
"1618",0.0130857373739823,-0.0433150149930097,-0.0207290398200463
"1620",0.0106074092440752,-0.0437269167870337,-0.0204406301075383
"1622",0.00791922373727144,-0.0441750221706957,-0.020118984488741
"1624",0.00510259002805933,-0.0446964513437078,-0.0197967742181346
"1626",0.00218871427887885,-0.0453365206696655,-0.0196134202116068
"1628",-0.000810545037893363,-0.0458613116920748,-0.0194115867622862
"1630",-0.00384815849818305,-0.0461890646947755,-0.0191712053783761
"1632",-0.00688947116111946,-0.0463690864490537,-0.0188285595375443
"1634",-0.00999899721245482,-0.0463758591485923,-0.0181701484990128
"1636",-0.0134995906447255,-0.0463604247366836,-0.0174696860828397
"1638",-0.0171075350937674,-0.0460652069209106,-0.0166485709258598
"1640",-0.0206194154508902,-0.0451354346792707,-0.0151413328150859
"1642",-0.0242602181806572,-0.0437358332257508,-0.0129947172592695
"1644",-0.027974634513182,-0.0418844676755623,-0.0101634431408799
